NumberofFloors,NumberofBuildings,BuildingAge,PropertyGFATotal,PropertyGFATotal-binned,Neighborhood,renamed_PropertyType,Electricity_ratio,NaturalGas,SteamUse,SiteEnergyUse(kBtu),TotalGHGEmissions,ENERGYSTARScore
5.0,1.0,85.0,396085.0,Large,MAGNOLIA / QUEEN ANNE,Other,34.609,False,True,20955026.0,804.2,
2.0,1.0,61.0,52000.0,Medium,MAGNOLIA / QUEEN ANNE,Other,47.43852,False,True,2726369.0,101.83,
1.0,1.0,95.0,60696.0,Medium,MAGNOLIA / QUEEN ANNE,Other,99.99996,False,False,875943.3125,6.11,
2.0,1.0,95.0,262048.0,Large,MAGNOLIA / QUEEN ANNE,Other,65.20544,False,True,20723248.0,490.73,
4.0,1.0,82.0,56521.0,Medium,NORTHEAST,Other,99.99998,False,False,6357632.0,44.32,
2.0,1.0,94.0,206934.0,Large,NORTHEAST,Other,47.04518,True,False,4253577.5,133.58,
6.0,1.0,25.0,284100.0,Large,DOWNTOWN,Other,66.95366,True,True,14641502.0,429.12,
4.0,1.0,17.0,61156.0,Medium,DOWNTOWN,Other,74.19622,True,False,9363374.0,176.75,
4.0,1.0,113.0,72820.0,Medium,DOWNTOWN,Other,65.24241,True,False,2010454.625,46.26,
1.0,1.0,73.0,67356.0,Medium,GREATER DUWAMISH,Other,55.94218,True,False,7475577.5,204.08,
6.0,3.0,52.0,250981.0,Large,CENTRAL,Other,62.3867,True,True,13071700.0,422.39,
3.0,1.0,59.0,54224.0,Medium,NORTH,Other,46.03916,True,False,7265178.0,231.53,
3.0,1.0,27.0,55442.0,Medium,NORTHWEST,Other,58.26424,True,False,3191228.25,83.7,72.0
3.0,1.0,50.0,56000.0,Medium,BALLARD,Other,45.63723,True,False,1851260.5,59.34,
1.0,1.0,123.0,50000.0,Medium,LAKE UNION,Other,50.31158,True,False,7548807.0,225.69,
6.0,1.0,24.0,,Medium,GREATER DUWAMISH,Other,82.73432,True,False,59757440.0,892.63,
3.0,1.0,24.0,,Medium,GREATER DUWAMISH,Other,69.13118,True,False,58761304.0,1246.55,
6.0,1.0,15.0,419848.0,Large,NORTH,Other,76.57662,True,False,9134963.0,162.41,
2.0,1.0,71.0,56772.0,Medium,NORTHEAST,Other,39.97209,True,False,2439484.75,84.57,46.0
3.0,1.0,71.0,103000.0,Medium,NORTHEAST,Other,48.17116,True,False,4854429.5,149.93,42.0
7.0,1.0,109.0,128766.0,Medium,DOWNTOWN,Other,94.63863,True,False,6057410.0,57.21,
15.0,1.0,68.0,230880.0,Large,DOWNTOWN,Other,99.99999,False,False,62197176.0,433.6,
